Country,Hour,Minute,Second,Time,READER?
Alberta,,1,30,90,Yes
Toronto,,2,21,141,Yes
United States,,4,10,250,Yes
Toronto,,3,9,189,Yes
Hong Kong,,25,5,1505,Yes
Hong Kong,,22,58,1378,Yes
Vancouver,,9,13,553,Yes
Vancouver,,5,0,300,Yes
Toronto,,6,30,390,Yes
Vancouver,1,20,8,4808,Yes
United States,,5,10,310,Yes
Toronto,,4,48,288,Yes
Toronto,,24,18,1458,Yes
Toronto,,3,0,180,Yes
Toronto,,5,44,344,Yes
Toronto,,23,38,1418,Yes
Hong Kong,,20,26,1226,Yes
Toronto,,,30,30,Yes
United States,,10,28,628,Yes
Hong Kong,,1,18,78,Yes
Toronto,,,23,23,Yes
Toronto,,3,0,180,Yes
Toronto,,18,12,1092,Yes
Hong Kong,,,30,30,Yes
Hong Kong,,,40,40,Yes
Vancouver,,7,0,420,Yes
Toronto,,,30,30,Yes
Toronto,,8,30,510,Yes
Hong Kong,,27,1,1621,Yes
Toronto,,,50,50,Yes
Toronto,,9,20,560,Yes
Toronto,,34,53,2093,Yes
Toronto,,16,24,984,Yes
Toronto,,7,15,435,Yes
Alberta,,11,40,700,Yes
Toronto,,4,10,250,Yes
Toronto,,12,20,740,Yes
Vancouver,,,40,40,Yes
Toronto,,10,53,653,Yes
Toronto,,15,44,944,Yes
Vancouver,,3,17,197,Yes
Toronto,,25,0,1500,Yes
Hong Kong,,30,38,1838,Yes
Toronto,,,20,20,Yes
Toronto,,2,12,132,Yes
Hong Kong,,8,49,529,Yes
United States,,1,10,70,Yes
Hong Kong,,32,47,1967,Yes
Hong Kong,,23,36,1416,Yes
Toronto,,4,40,280,Yes
Hong Kong,,1,30,90,Yes
Vancouver,,8,1,481,Yes
Toronto,,3,40,220,Yes
Toronto,,1,10,70,Yes
Toronto,,1,40,100,Yes
Vancouver,,2,36,156,Yes
Toronto,,23,31,1411,Yes
Macau,,2,0,120,Yes
Vancouver,,,20,20,Yes
Toronto,,,50,50,Yes
Australia,,,10,10,Yes
Vancouver,,,23,23,Yes
Macau,,4,41,281,Yes
Macau,,1,35,95,Yes
Toronto,,4,10,250,Yes
Vancouver,,1,6,66,Yes
Toronto,,1,35,95,Yes
Hong Kong,,1,10,70,Yes
Toronto,,4,0,240,Yes
United States,,13,1,781,Yes
Hong Kong,,1,20,80,Yes
Toronto,,1,10,70,Yes
Toronto,,1,20,80,Yes
Toronto,,5,0,300,Yes
